Datetime,Episode,Validation_Score
2023-10-07 17:39:11,4450,2955
2023-10-07 17:39:19,4460,2955
2023-10-07 17:39:28,4470,2955
2023-10-07 17:39:37,4480,2955
2023-10-07 17:39:46,4490,2955
2023-10-07 17:39:55,4500,2955
2023-10-07 17:40:04,4510,2955
2023-10-07 17:40:13,4520,2955
2023-10-07 17:40:22,4530,2955
2023-10-07 17:40:31,4540,2955
2023-10-07 17:40:41,4550,2955
2023-10-07 17:40:55,4560,2955
2023-10-07 17:41:05,4570,2955
2023-10-07 17:41:14,4580,2955
2023-10-07 17:41:23,4590,2955
2023-10-07 17:41:32,4600,2951
2023-10-07 17:41:41,4610,2951
2023-10-07 17:41:50,4620,2955
2023-10-07 17:41:59,4630,2955
2023-10-07 17:42:08,4640,2955
2023-10-07 17:42:17,4650,2955
2023-10-07 17:42:26,4660,2955
2023-10-07 17:42:35,4670,2955
2023-10-07 17:42:44,4680,2955
2023-10-07 17:42:54,4690,2955
2023-10-07 17:43:02,4700,2955
2023-10-07 17:43:11,4710,2955
2023-10-07 17:43:20,4720,2955
2023-10-07 17:43:29,4730,2955
2023-10-07 17:43:38,4740,2955
2023-10-07 17:43:47,4750,2955
2023-10-07 17:43:56,4760,2955
2023-10-07 17:44:05,4770,2955
2023-10-07 17:44:14,4780,2955
2023-10-07 17:44:23,4790,2955
2023-10-07 17:44:32,4800,2955
2023-10-07 17:44:41,4810,2953
2023-10-07 17:44:50,4820,2949
2023-10-07 17:44:59,4830,2949
2023-10-07 17:45:08,4840,2949
2023-10-07 17:45:18,4850,2953
2023-10-07 17:45:29,4860,2953
2023-10-07 17:45:39,4870,2953
2023-10-07 17:45:49,4880,2955
2023-10-07 17:45:58,4890,2955
2023-10-07 17:46:07,4900,2955
2023-10-07 17:46:16,4910,2955
2023-10-07 17:46:25,4920,2955
2023-10-07 17:46:34,4930,2955
2023-10-07 17:46:43,4940,2955
2023-10-07 17:46:52,4950,2955
2023-10-07 17:47:00,4960,2955
2023-10-07 17:47:09,4970,2955
2023-10-07 17:47:18,4980,2955
2023-10-07 17:47:26,4990,2955
2023-10-07 17:47:35,5000,2955
